"PartNumber","PipeSize","BendAngle","PSize","Schedule","POD","PThk","PID","H","J","M","Approx. Wt."
"817-020","2""","45 deg","DN50",80,"2.375 in","0.218 in","1.913 in","2+1/8 in","5/8 in","2+7/8 in",".46 lb"
"817-025","2-1/2""","45 deg","DN65",80,"2.875 in","0.276 in","2.290 in","2+13/32 in","21/32 in","3+1/2 in",".77 lb"
"817-030","3""","45 deg","DN80",80,"3.500 in","0.300 in","2.864 in","2+29/32 in","29/32 in","4+5/32 in","1.12 lb"
"817-040","4""","45 deg","DN100",80,"4.500 in","0.337 in","3.786 in","3+5/16 in","1+1/16 in","5+1/4 in","2.00 lb"
"817-050","5""","45 deg","DN125",80,"5.563 in","0.375 in","4.768 in","4 in","1+11/32 in","6+13/32 in","3.23 lb"
"817-050F","5""","45 deg","DN125",80,"5.563 in","0.375 in","4.768 in","4+7/8 in","1+7/8 in","6+5/16 in","3.86 lb"
"817-060","6""","45 deg","DN150",80,"6.625 in","0.432 in","5.709 in","4+3/4 in","1+3/4 in","7+19/32 in","5.52 lb"
"817-080","8""","45 deg","DN200",80,"8.625 in","0.500 in","7.565 in","6 in","2 in","9+3/4 in","10.17 lb"
"817-100","10""","45 deg","DN250",80,"10.750 in","0.593 in","9.493 in","7+5/8 in","2+19/32 in","12+1/8 in","18.99 lb"
"817-100F","10""","45 deg","DN250",80,"10.750 in","0.593 in","9.493 in","8+11/16 in","3+7/16 in","11+15/16 in","19.91 lb"
"817-120","12""","45 deg","DN300",80,"12.750 in","0.687 in","11.294 in","9+1/16 in","3+3/16 in","15+3/8 in","32.02 lb"
"817-120F","12""","45 deg","DN300",80,"12.750 in","0.687 in","11.294 in","10+1/8 in","3+7/8 in","14+1/8 in","31.51 lb"
"406-003","3/8""","90 deg","DN10",40,"0.675 in","0.091 in","0.473 in","1+1/8 in","3/8 in","7/8 in",".03 lb"
"406-005","1/2""","90 deg","DN15",40,"0.840 in","0.109 in","0.602 in","1+1/4 in","1/2 in","1+1/8 in",".05 lb"
"406-007","3/4""","90 deg","DN20",40,"1.050 in","0.113 in","0.804 in","1+1/2 in","9/16 in","1+11/32 in",".07 lb"
"406-010","1""","90 deg","DN25",40,"1.315 in","0.133 in","1.029 in","1+13/16 in","11/16 in","1+5/8 in",".12 lb"
"406-012","1-1/4""","90 deg","DN32",40,"1.660 in","0.140 in","1.360 in","2+5/32 in","31/32 in","2 in",".20 lb"
"406-015","1-1/2""","90 deg","DN40",40,"1.900 in","0.145 in","1.590 in","2+11/32 in","1+1/16 in","2+1/4 in",".25 lb"
"406-020","2""","90 deg","DN50",40,"2.375 in","0.154 in","2.047 in","2+11/16 in","1+5/16 in","2+3/4 in",".38 lb"
"406-025","2-1/2""","90 deg","DN65",40,"2.875 in","0.203 in","2.445 in","3+1/4 in","1+1/2 in","3+11/32 in",".73 lb"
"406-030","3""","90 deg","DN80",40,"3.500 in","0.216 in","3.042 in","3+23/32 in","1+27/32 in","4 in","1.03 lb"
"406-040","4""","90 deg","DN100",40,"4.500 in","0.237 in","3.998 in","4+13/32 in","2+13/32 in","5+1/32 in","1.73 lb"
"406-050","5""","90 deg","DN125",40,"5.563 in","0.258 in","5.016 in","6+1/8 in","3+1/16 in","6+5/32 in","3.58 lb"
"406-060","6""","90 deg","DN150",40,"6.625 in","0.280 in","6.031 in","6+9/16 in","3+17/32 in","7+9/32 in","4.52 lb"
"406-080","8""","90 deg","DN200",40,"8.625 in","0.322 in","7.942 in","8+7/16 in","4+13/32 in","9+3/8 in","8.84 lb"
"406-100","10""","90 deg","DN250",40,"10.750 in","0.365 in","9.976 in","10+27/32 in","5+13/16 in","11+19/32 in","15.75 lb"
"406-100F","10""","90 deg","DN250",40,"10.750 in","0.365 in","9.976 in","15+1/16 in","9+13/16 in","11+1/2 in","17.40 lb"
"406-120","12""","90 deg","DN300",40,"12.750 in","0.406 in","11.889 in","13+9/16 in","7+1/16 in","14+1/4 in","27.98 lb"
"406-120F","12""","90 deg","DN300",40,"12.750 in","0.406 in","11.889 in","17+7/16 in","11+3/16 in","13+9/16 in","25.94 lb"
"806-002","1/4""","90 deg","DN8",80,"0.540 in","0.119 in","0.282 in","1 in","11/32 in","13/16 in",".03 lb"
"806-003","3/8""","90 deg","DN10",80,"0.675 in","0.126 in","0.403 in","1+1/4 in","15/32 in","31/32 in",".05 lb"
"806-005","1/2""","90 deg","DN15",80,"0.840 in","0.147 in","0.526 in","1+15/32 in","9/16 in","1+3/16 in",".08 lb"
"806-007","3/4""","90 deg","DN20",80,"1.050 in","0.154 in","0.722 in","1+11/16 in","5/8 in","1+7/16 in",".12 lb"
"806-010","1""","90 deg","DN25",80,"1.315 in","0.179 in","0.936 in","2 in","7/8 in","1+3/4 in",".20 lb"
"806-012","1-1/4""","90 deg","DN32",80,"1.660 in","0.191 in","1.255 in","2+9/32 in","1+1/32 in","2+1/8 in",".30 lb"
"806-015","1-1/2""","90 deg","DN40",80,"1.900 in","0.200 in","1.476 in","1+9/16 in","1+5/32 in","2+3/8 in",".39 lb"
"806-020","2""","90 deg","DN50",80,"2.375 in","0.218 in","1.913 in","2+15/16 in","1+13/32 in","2+7/8 in",".60 lb"
"806-025","2-1/2""","90 deg","DN65",80,"2.875 in","0.276 in","2.290 in","3+11/32 in","1+9/16 in","3+15/32 in","1.09 lb"
"806-030","3""","90 deg","DN80",80,"3.500 in","0.300 in","2.864 in","3+31/32 in","2+1/16 in","4+3/16 in","1.60 lb"
"806-040","4""","90 deg","DN100",80,"4.500 in","0.337 in","3.786 in","4+7/8 in","2+5/8 in","5+7/32 in","2.78 lb"
"806-050","5""","90 deg","DN125",80,"5.563 in","0.375 in","4.768 in","5+3/4 in","3 in","6+3/8 in","4.42 lb"
"806-050F","5""","90 deg","DN125",80,"5.563 in","0.375 in","4.768 in","8+1/2 in","5+1/2 in","6+5/16 in","6.23 lb"
"806-060","6""","90 deg","DN150",80,"6.625 in","0.432 in","5.709 in","6+3/4 in","3+3/4 in","7+19/32 in","7.47 lb"
"806-080","8""","90 deg","DN200",80,"8.625 in","0.500 in","7.565 in","8+25/32 in","4+25/32 in","9+3/4 in","14.30 lb"
"806-080F","8""","90 deg","DN200",80,"8.625 in","0.500 in","7.565 in","12+1/8 in","7+7/8 in","9+5/8 in","17.47 lb"
"806-100","10""","90 deg","DN250",80,"10.750 in","0.593 in","9.493 in","10+13/16 in","5+25/32 in","12+5/32 in","26.34 lb"
"806-100F","10""","90 deg","DN250",80,"10.750 in","0.593 in","9.493 in","15+1/4 in","10 in","11+15/16 in","31.86 lb"
"806-120","12""","90 deg","DN300",80,"12.750 in","0.687 in","11.294 in","12+29/32 in","6+27/32 in","14+3/8 in","44.06 lb"
"806-120F","12""","90 deg","DN300",80,"12.750 in","0.687 in","11.294 in","17+3/4 in","11+1/2 in","14+1/8 in","60.28 lb"
